"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"24","IDM","BOROBUDUR","TOILET","Simpul Gate","IDM-BOROBUDUR-TOILET-Simpul Gate-01","5","Satisfied","5","Oke bagus",,"Positive",,,,,"5","5",,,,,,,,,"Toilet bersih dan terawat dengan baik",,,,"3f179eb9-c8b0-471e-a565-53e37153b7bc","Completed",,"10-09-2025 13:19:00",,"23503",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"25","IDM","BOROBUDUR","TOILET","Simpul Gate","IDM-BOROBUDUR-TOILET-Simpul Gate-01","5","Satisfied","5","diperbaiki lagi saluran pembuangan airnya","Toilet Maintenance and Repairs","Negative","5","5",,,,,"Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,,,,,,,,,"6fb4cb64-495b-4a8a-bf03-65b39ef15121","Completed",,"10-09-2025 15:20:00",,"92413",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"26","IDM","PRAMBANAN","TOILET","H","IDM-PRAMBANAN-TOILET-H-01","3","Neutral","3","urionair bnyk yg rusak","Toilet Maintenance and Repairs","Negative",,,"3","3",,,,,,,,,"Urinoir kotor atau tidak dapat digunakan|Tisu tidak tersedia",,,,,,"0a3c5cdf-aeca-407c-ab15-6995fc57d8e9","Completed",,"11-09-2025 08:38:00",,"171544",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"27","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","toiletnya bagus nyaman, dipertahankan agar pengunjung tetap nyaman","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,,,,,"Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"7125903b-cc55-48fc-b203-fc1ac35fc9c6","Completed",,"12-09-2025 13:11:00",,"231913",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"28","IDM","PRAMBANAN","TOILET","H","IDM-PRAMBANAN-TOILET-H-01","1","Not Satisfied","1","Tolet tersumbat, tempat serapan air di toilet juga tersumbat. Membuat proses buang air jadi tidak nyaman dan menjengkelkan. Tolong petugas tiap pagi, siang dan sore dicek fungsi fasilitas toilet di seluruh titiknya. Karna tolet merupakan kebutuhan yang urgen","Availability and Quantity of Toilets|Toilet Maintenance and Repairs","Negative",,,"1","1","1","1",,,,,,,"Air tidak tersedia atau mengalir dengan tidak lancar|Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"3c1ed71a-6ae9-4965-88ea-c51ed90f92b0","Completed",,"12-09-2025 14:18:00",,"240212",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"29","IDM","PRAMBANAN","TOILET","CS","IDM-PRAMBANAN-TOILET-CS-01","2","Not Satisfied","2","Air tidak jalan,","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative",,,,,"2","2",,,,,,,,,,,"Toilet kotor atau kurang terawat",,"b90ba703-a747-4ccb-8db0-c6fc0a3998f3","Completed",,"13-09-2025 16:27:00",,"59151",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"30","IDM","PRAMBANAN","TOILET","Loket Wisman","IDM-PRAMBANAN-TOILET-Loket Wisman-01","3","Neutral","3","Kbutuhan coustomer akan sgala fasilitas harus ditingkatkan lagi","Suggestions for Future Upgrades and Management","Negative",,,"3","3",,,,,,,,,"Tisu tidak tersedia|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap",,,,,,"094f3156-497e-429b-a9e0-cd129c709a84","Completed",,"14-09-2025 06:26:00",,"240010",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"31","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan cepat dan tepat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Urinoir bersih dan mudah digunakan|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"62455026-f2af-4ba4-8eca-c1217c76ae3c","Completed",,"14-09-2025 11:17:00",,"28541",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"32","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","3","Neutral","3","Kedepannya mungkin bisa diberikan wangi wangian","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Positive",,,,,"3","3",,,,,,,,,,,"Toilet kotor atau kurang terawat",,"18375397-1a5c-4ca4-9af9-f6cd6f668a95","Completed",,"15-09-2025 12:42:00",,"79315",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"33","IDM","PRAMBANAN","TOILET","H","IDM-PRAMBANAN-TOILET-H-01","4","Satisfied","4",,,,"4","4",,,,,"Membantu dan memastikan kesiapan fasilitas",,,,,,,,,,,,"7fc711e4-ce46-4436-a6b6-1e3cf2531e41","Completed",,"16-09-2025 17:11:00",,"26696",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"34","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","Toilet sangat bersih dan wangi, sangat nyaman untuk orang tua saya. Terima kasih","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,,,,,"Toilet nyaman digunakan oleh pengunjung|Toilet bersih dan terawat dengan baik",,,,"18e9c810-5c05-4148-bbdc-6beead05d078","Completed",,"16-09-2025 17:11:00",,"58541",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"35","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","1","Not Satisfied","1","lantau toilet becek, kotor banget dan ketersediaan toilet sangat sedikit dengan pengunjung yang ramai","Cleanliness and Hygiene of Toilets|Availability and Quantity of Toilets","Negative",,,"1","1","1","1",,,,,,,"Tisu tidak tersedia|Pengering tangan tidak berfungsi|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap",,,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"a485e6cf-c144-4556-bbbb-9906ac52e2ac","Completed",,"18-09-2025 08:35:00",,"113859",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"36","IDM","PRAMBANAN","TOILET","E","IDM-PRAMBANAN-TOILET-E-01","1","Not Satisfied","1","Untuk toilet sebaiknya dibundling dengan harga tiket tidak bayar lagi, mencerminkan bangsa..
Kasihan bule hayar 100 ribu bayar lagi toliet dan kotor..seharusnya fasilitas dikelola secara professional","Suggestions for Future Upgrades and Management","Negative",,,"1","1","1","1",,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik|Urinoir kotor atau tidak dapat digunakan|Tisu tidak tersedia|Wastafel kotor atau tidak berfungsi|Sabun habis atau tidak tersedia|Pengering tangan tidak berfungsi|Cermin kotor atau dipasang di posisi yang kurang nyaman|Lady bin tidak tersedia atau dalam kondisi kotor|Tempat sampah tidak tersedia atau jarang dikosongkan|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Lainnya","Tidak bersih, jorok",,,"Toilet kotor atau kurang terawat",,"d4ebd979-fc94-4dcc-80cb-864b32bbe1fc","Completed",,"19-09-2025 16:25:00",,"152280",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"37","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","4","Satisfied","4","Sudah cukup baik",,"Positive",,,"4","4","4","4",,,,,"Tisu tersedia dengan cukup untuk digunakan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik",,"Sabun habis atau tidak tersedia",,,,,,"4bc577ea-cd88-435b-bcd0-252ee52049ed","Completed",,"20-09-2025 08:15:00",,"155720",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"38","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","sekarang toiletnya wangi banget, tolong dipertahankan👍","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"9fc3a937-a6fb-46bf-8a4c-39ab3e66e82f","Completed",,"20-09-2025 16:29:00",,"78915",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"39","IDM","TMII","TOILET","Elevated  Parking LT 1 Zona  3","IDM-TMII-TOILET -Elevated  Parking LT 1 Zona  3-01","3","Neutral","3","toilet pria rusak pada area parkir mobil","Toilet Maintenance and Repairs","Negative",,,"3","3",,,,,,,,,"Urinoir kotor atau tidak dapat digunakan|Air tidak tersedia atau mengalir dengan tidak lancar|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Pengering tangan tidak berfungsi|Sabun habis atau tidak tersedia|Tisu tidak tersedia",,,,,,"41ed15fd-6cb1-4824-998c-eff20f76d4b1","Completed",,"21-09-2025 08:24:00",,"3597179",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"40","IDM","PRAMBANAN","TOILET","A","IDM-PRAMBANAN-TOILET-A-01","2","Not Satisfied","2","Mohon untuk di upgrade pintu2 dan partisi toilet serta kelengkapan fasilitas lainnya. Seperti nursery room.","Suggestions for Future Upgrades and Management|Accessibility and Convenience (Gates, Gantungan, Baby Rooms)","Neutral",,,"2","2","2","2",,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik|Tisu tidak tersedia|Lainnya","Partisi dan pintu banyak yang sudah rusak",,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"008bf006-7993-4e85-b7e7-7bfa509d7777","Completed",,"21-09-2025 13:25:00",,"815395",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"41","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","3","Neutral","3","tolong tambahkan toiletnya, jangan cuma satu pintu di lokasi parkiran jadi klu rame gini antri nunggu","Availability and Quantity of Toilets","Negative",,,"3","3",,,,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,,,"574d9ee4-5bc9-4270-aa0a-c3acd21afad2","Completed",,"21-09-2025 13:50:00",,"212667",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"42","IDM","TMII","TOILET","Kaltim","IDM-TMII-TOILET -Kaltim-01","5","Satisfied","5","Sudah cukup bagus",,"Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Pengering tangan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar|Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"ab1348fd-978c-491b-b1ee-2630b22b5136","Completed",,"22-09-2025 15:10:00",,"40789",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"43","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","2","Not Satisfied","2","Tolong toiletnya sedikit dikasih wangi-wangian biar pengunjung nyaman ketika pake","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative",,,"2","2","2","2",,,,,,,"Tempat sampah tidak tersedia atau jarang dikosongkan",,,,"Toilet kotor atau kurang terawat",,"ad4204da-1f6a-43b4-b384-ae99dda791b8","Completed",,"24-09-2025 13:32:00",,"92499",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"44","IDM","PRAMBANAN","TOILET","K","IDM-PRAMBANAN-TOILET-K-01","5","Satisfied","5","Lumayan bersih","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,"Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik",,,,"9a745c76-930f-455d-a723-46971311ff89","Completed",,"27-09-2025 11:10:00",,"92477",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"45","IDM","PRAMBANAN","TOILET","K","IDM-PRAMBANAN-TOILET-K-01","3","Neutral","3","Toilet yang di dekat parkiran bus untuk pintunya kalo bisa di perbaiki lagi karna merasa kurang amann","Toilet Maintenance and Repairs","Negative",,,,,"3","3",,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,"Toilet kurang aman atau tidak memberikan privasi yang cukup bagi pengguna",,"ee622639-a01d-46df-9632-531eae301d91","Completed",,"27-09-2025 12:42:00",,"78134",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"46","IDM","PRAMBANAN","TOILET","C","IDM-PRAMBANAN-TOILET-C-01","1","Not Satisfied","1","Toilet tidak bersih","Cleanliness and Hygiene of Toilets","Negative",,,,,"1","1",,,,,,,"Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Pengering tangan tidak berfungsi|Tisu tidak tersedia",,,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"4cee5a54-eaaa-42ed-82e0-43fd990f1064","Completed",,"27-09-2025 16:30:00",,"149885",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"47","IDM","TMII","TOILET","Elevated  Parking Basement Zona 2","IDM-TMII-TOILET -Elevated  Parking Basement Zona 2-01","1","Not Satisfied","1","toilet ditambahkan tempat gantungan pakaian beserta tisu dan juga ditambah titik toilet agar tidak terjadi penumpukan","Accessibility and Convenience (Gates, Gantungan, Baby Rooms)","Negative",,,"1","1","1","1",,,,,,,"Urinoir kotor atau tidak dapat digunakan|Air tidak tersedia atau mengalir dengan tidak lancar|Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik|Wastafel kotor atau tidak berfungsi|Sabun habis atau tidak tersedia|Tisu tidak tersedia|Pengering tangan tidak berfungsi|Lady bin tidak tersedia atau dalam kondisi kotor|Cermin kotor atau dipasang di posisi yang kurang nyaman|Tempat sampah tidak tersedia atau jarang dikosongkan|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Lainnya","gantungan baju",,,"Toilet kurang nyaman digunakan oleh pengunjung|Toilet kurang aman atau tidak memberikan privasi yang cukup bagi pengguna",,"36f451f9-fe58-470c-aef8-be74e13ca155","Completed",,"30-09-2025 13:17:00",,"83813",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"48","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","4","Satisfied","4",,,,,,,,"4","4",,,,,"Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Lainnya","Area bersih",,,"15a602a1-131f-4df3-8d39-d777ea6f7dee","Completed",,"01-10-2025 08:28:00",,"125175",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"49","IDM","TMII","TOILET","Pasar Nusantara","IDM-TMII-TOILET -Pasar Nusantara-01","5","Satisfied","5","Sangat bersih dan terawat dengan baik, menambah kenyamanan kunjungan👍","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"a1817e22-b7fe-4326-ba20-3f9ecdb379ba","Completed",,"01-10-2025 17:38:00",,"97782",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"50","IDM","TMII","TOILET","Pasar Nusantara","IDM-TMII-TOILET -Pasar Nusantara-01","5","Satisfied","5","Sangat apresiasi toilet wangi dan bersih, membuat nyaman ketika digunakan","Cleanliness and Hygiene of Toilets","Positive",,,"5","5","5","5",,,,,"Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"7c538ecf-aa91-4354-bcfc-3fc2b911c63e","Completed",,"03-10-2025 13:20:00",,"1661725",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"51","IDM","TMII","TOILET","Elevated  Parking Basement Zona 3","IDM-TMII-TOILET -Elevated  Parking Basement Zona 3-01","4","Satisfied","4","Saran untuk Toilet di Area Parkir Motor:
1. Mohon dibuatkan wastafel pada bagian luar toilet, di sebelah toilet perempuan masih ada space untuk dibuat wastafel dan kaca. Bisa juga dilengkapi sabun dan pengering tangan
2. Tolong kalo bisa sediakan sabun di dalam toilet dan cek selalu ketersediaan tisu toilet (tisu gulung)
3. Tambah pewangi toilet agar lebih harum
4. Tambah juga tanaman hijau untuk mempercantik toilet","Additional Facilities and Amenities (Nursery Room, Exhaust Fans, Plants)|Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Positive","4","4",,,"4","4","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"ca145077-6364-4aed-853b-12b21a19a11e","Completed",,"04-10-2025 08:38:00",,"234491",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"52","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","5","Satisfied","5","Patut diacungi jempol walaupun weekend dan lumayan antri namun petugas selalu sigap menjaga kebersihan dan kewangian toilet sehingga kami yang menggunakan merasa sangat nyaman","Staff Performance and Service Quality","Positive",,,"5","5","5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan",,"Air tidak tersedia atau mengalir dengan tidak lancar|Wastafel kotor atau tidak berfungsi|Cermin kotor atau dipasang di posisi yang kurang nyaman",,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"be44570c-51a4-469d-b1b6-bbecb82bee60","Completed",,"05-10-2025 12:45:00",,"179215",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"53","IDM","TMII","TOILET","Kereta Gantung B","IDM-TMII-TOILET -Kereta Gantung B-01","2","Not Satisfied","2","sabun nya gak ada, katanya tempat nya bocor, harus nya sabun nya segera di pasang, karna ini toilet umum","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative",,,"2","2",,,,,,,,,"Sabun habis atau tidak tersedia|Cermin kotor atau dipasang di posisi yang kurang nyaman",,,,,,"29e1de2a-8278-4e11-b95b-0434876a8ada","Completed",,"06-10-2025 09:47:00",,"381246",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
